case_count,case_count_quote,patient_age,patient_age_quote,patient_sex,patient_sex_quote,presenting_symptoms,presenting_symptoms_quote,diagnostic_method,diagnostic_method_quote,imaging_findings,imaging_findings_quote,histopathology,histopathology_quote,immunohistochemistry,immunohistochemistry_quote,treatment,treatment_quote,outcome,outcome_quote,comorbidities,comorbidities_quote,filename,extraction_confidence,extraction_notes
5,The clinical findings in our patients are summarized in Table 1. Four patients were women and 1 was a man.,"75, 54, 51, 63, 71","1, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Sex/Age = F/75... 2, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Sex/Age = F/54... 3, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Sex/Age = M/51... 4, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Sex/Age = F/63... 5, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Sex/Age = F/71","Female, Female, Male, Female, Female",Four patients were women and 1 was a man.,"Dyspnea, shortness of breath, fatigue, cough","All patients presented with dyspnea, shortness of breath, and fatigue... 3, TABLE 1. Clinical Summary in 5 Patients With Diffuse Pulmonary Meningotheliomatosis.Clinical Presentation = Progressive cough, shortness of breath.",Video-assisted thoracoscopic biopsies with multiple sampling,All patients underwent video-assisted thoracoscopic biopsies with multiple sampling involving the right upper and lower lobes.,"Diffuse bilateral reticulonodular infiltrates or ground-glass opacities, with multiple small nodules measuring 2 to 3 mm in diameter diffusely scattered throughout both lung fields. Some nodules up to 8mm in diameter. Number of nodules ranged from 30 to >100 per lung. No hilar adenopathy.","Chest x-rays and computed tomography (CT) scans showed diffuse bilateral reticulonodular infiltrates or ground-glass opacities, with multiple small nodules measuring 2 to 3 mm in diameter diffusely scattered throughout both lung fields. A few of the nodules appeared larger and measured up to 8mm in greatest diameter. The number of nodules ranged from 30 to >100 per lung. There was no evidence of hilar adenopathy.",Multiple small gray white nodules scattered randomly throughout the lung parenchyma,Cut sections of all lung wedge biopsies showed multiple small gray white nodules scattered randomly throughout the lung parenchyma.,"Tested for cytokeratin cocktail (AE1/AE3), low-molecular weight cytokeratin (CAM5.2), vimentin, S-100 protein, muscle specific actin, smooth muscle actin, chromogranin A, synaptophysin, epithelial membrane antigen (EMA), and CD34","The antibodies tested included: cytokeratin cocktail (AE1/AE3, Boehringer-Manheim, Indianapolis, IN; 1:1000); low-molecular weight cytokeratin (CAM5.2, Beckton-Dickinson, San Jose, CA; 1:100); vimentin (V9, Dako, Carpinteria, CA); S-100 protein (polyclonal, Dako, 1:3000); muscle specific actin (HHF-35; Enzo, New York, NY; 1:32,000); smooth muscle actin (Dako, 1:75); chromogranin A (Dako, 1:15); synaptophysin (Dako; 1:100); epithelial membrane antigen (EMA) (Dako, 1:200); and CD34 (Dako, 1:300).",,,Not reported,,"Ischemic heart disease, hypertension, history of various cancers (colon carcinoma, uterine leiomyosarcoma, papillary thyroid carcinoma, breast cancer, lung adenocarcinoma), coronary artery disease","Other Clinical History = Ischemic heart disease, hypertension. History of colon carcinoma 9 y previously... History of uterine leiomyosarcoma 7y previously... Other Clinical History = Coronary artery disease, hypertension.",Suster and Moran - 2007 - Diffuse Pulmonary Meningotheliomatosis.pdf,,
59,Fifty-nine patients included 10 men and 49 women,57.7,"Fifty-nine patients included 10 men and 49 women, with a mean age of 57.7","Male, Female",Fifty-nine patients included 10 men and 49 women,Not reported,,Surgical resection with pathological examination,"From January 2016 to April 2019, 7589 patients underwent pulmonary resections... Two pathologists blindly and independently rechecked the slides.",Not reported,,Minute pulmonary meningothelial-like nodules consisting of cells resembling meningothelial cells arranged in nests,"Minute pulmonary meningothelial-like nodules consist of cells resembled meningothelial cells and arranged in nests, microscopically","EMA positive (95.7%), PR positive (100%), VIM positive (100%), CD56 positive (94.4%), TTF-1 negative (81.3%), Syn negative (100%)","22 of 23 specimens (95.7%) tested positive for EMA, 21 of 21 specimens (100.0%) tested positive for PR, 18 of 18 specimens (100.0%) tested positive for VIM, and 17 of 18 specimens (94.4%) tested positive for CD56, while 13 of 16 (81.3%) specimens tested negative for TTF-1 and 11 of 11 specimens (100.0%) tested negative for Syn",,,Not reported,,"Adenocarcinoma (42 patients), atypical adenomatous hyperplasia (2 patients), metastatic lung cancer (1 patient)","Main diagnosis was minute pulmonary meningothelial-like nodules in 14 patients, adenocarcinoma in 42 patients, atypical adenomatous hyperplasia in 2, and metastatic lung cancer in 1.","Wen et al. - 2022 - Clinical, pathological and radiologic features of minute pulmonary meningothelial-like nodules.pdf",,
16,"Thirty-five cases of MPMN [...] The study cases were grouped as single MPMNs (12 cases, 12 nodules), MPMN-omatosis syndrome (4 cases, 21 nodules)","60, 57.5","The mean age at the time of lung surgery for the patients with single and multiple MPMN was 60 years and 57.5 years, respectively","Male, Female",These patients were 3 males and 9 females for the single MPMN group (male:female ratio 1:3) and all 4 were females in the cases of MPMN-omatosis syndrome,Asymptomatic,These patients were asymptomatic and had bilateral lesions measuring <1 cm seen on the CT scan,Histopathology with immunohistochemical confirmation,"Five sections were used for a panel of immunohistochemical stains (vimentin, EMA, cytokeratin, S-100, and synaptophysin) to confirm the diagnosis of MPMN",Bilateral lesions measuring <1 cm on CT scan,These patients were asymptomatic and had bilateral lesions measuring <1 cm seen on the CT scan,"Minute Pulmonary Meningothelial-like Nodules with cells arranged in nests centered on small veins ('Zellballen'). Nuclei are bland, oval, with inconspicuous nucleoli and abundant, eosinophilic, and granular cytoplasm. Size varied from 0.05 to 0.2 cm.","The cells are arranged in nests centered on small veins ('Zellballen'). Cytologically, the nuclei are bland, oval, with inconspicuous nucleoli and the cytoplasm is abundant, eosinophilic, and granular. [...] The size of MPMN varied from 0.05 to 0.2 cm.","All MPMNs negative for cytokeratin (AE1/E3) and synaptophysin, 97% negative for S-100. 96.9% positive for vimentin, 33.3% positive for EMA","All MPMNs stained negative for cytokeratin (AE1/E3) and synaptophysin and 97% stained negative for S-100 (32 of 33). The majority (96.9%) of MPMNs showed reactivity with vimentin, but only 33.3% of them were positive for EMA (11 of 33)",Not reported,,Not reported,,"Primary lung carcinoma, metastatic sarcoma, lung transplantation, emphysema, interstitial pneumonia, interstitial lung disease, pulmonary vascular malformation","these nodules were derived from specimens resected for primary lung carcinoma in 25% of the cases (3 of 12), metastatic sarcoma in 16.6% of the cases (2 of 12), lung transplantation in 16.6% of the cases (2 of 12), and with other miscellaneous diagnoses (emphysema, interstitial pneumonia, interstitial lung disease, and pulmonary vascular malformation)",Ionescu et al. - 2004 - Pulmonary Meningothelial-like Nodules.pdf,,
1,A 48-year-old woman was referred to a thoracic surgeon for lung biopsies because of the presence of widespread bilateral minute pulmonary nodules.,48,A 48-year-old woman was referred to a thoracic surgeon,Female,A 48-year-old woman was referred to a thoracic surgeon,Severe asthma with exacerbations,"She had been followed up and treated for nonallergic asthma since 27 years of age... For 4 years, she experienced > 3 asthma exacerbations related to air pollution and respiratory infections that required oral corticosteroid therapy.","Video-assisted thoracoscopic surgery biopsy, CT imaging, Immunohistochemistry","Subsequently, a surgical lung biopsy was performed on each right lobe for further evaluation and analysis by video-assisted thoracoscopic surgery.","Multiple diffuse subsolid nodules ranging from 1 to 4 mm distributed in a random pattern with central lucencies (cheerio sign) in some cases, mild air trapping and bronchial thickening",High-resolution CT (CT) imaging of the chest revealed multiple diffuse subsolid nodules ranging from 1 to 4 mm distributed in a random pattern and demonstrating central lucencies (cheerio sign) in some cases. Mild air trapping and bronchial thickening were present.,"Multiple foci of meningothelial cell proliferation with perivenular pattern of growth and ill-defined borders, measuring <0.3 cm, sometimes confluent","Microscopic examination revealed multiple foci of meningothelial cell proliferation with a perivenular pattern of growth and ill-defined borders. They all measured < 0.3 cm, but sometimes appeared to be confluent.","SSTR2+, PS100-, HMB45-, RO-, RP+, actin smooth muscle-, ERG-, CD31-, melan A-, AE1/AE3-, MNF116-, chromogranin-, synaptophysin-, CD56+, TTF1-, P40-; Ki67 <5%","These meningothelial cells showed the following immunohistochemical profile: SSTR2+, PS100-, HMB45-, RO-, RP+, actin smooth muscle-, ERG-, CD31-, melan A-, AE1/AE3-, MNF116-, chromogranin-, synaptophysin-, CD56+, TTF1-, and P40-. The cell proliferation index estimated by Ki67 immunostaining was low, at < 5%.",Observation,"Management of DPM primarily is conservative, involving surveillance imaging to monitor the stability of the nodules.",Stable disease at 1-year follow-up,The 1-year follow-up revealed no progression of the disease.,"Nonallergic asthma, sleep apnea syndrome",She had been followed up and treated for nonallergic asthma since 27 years of age and sleep apnea syndrome.,Bottet et al. - 2025 - A 48-Year-Old Woman With a History of Severe Asthma and Bilateral Minute Pulmonary Nodules.pdf,,
1,We present a case of MPMN diagnosed via transbronchial cryobiopsy (TBCB).,83,The patient is an 83-year-old female,Female,The patient is an 83-year-old female,"Asymptomatic (incidental finding), chronic baseline dyspnea",underwent a coronary calcium CT which incidentally discovered diffuse groundglass nodules. She endorsed chronic baseline dyspnea but otherwise lacking symptoms,Transbronchial cryobiopsy (TBCB) with immunohistochemical testing,TBCB was performed using a 1.7 mm cryoprobe and two samples were obtained from the right lower lobe. [...] Immunohistochemical testing was positive for epithelial membrane antigen (EMA) and negative for chromogranin and synaptophysin,"Diffuse, small, groundglass nodules","Its hallmark radiographic features consist of diffuse, small, groundglass nodules.",Minute Pulmonary Meningothelial-like Nodules (MPMN),Histopathology was also consistent with the diagnosis [MPMN].,"Positive for epithelial membrane antigen (EMA), negative for chromogranin and synaptophysin",Immunohistochemical testing was positive for epithelial membrane antigen (EMA) and negative for chromogranin and synaptophysin consistent with MPMN.,Observation (conservative management),"After discussion, the patient opted for conservative management",Stable,she was clinically and radiographically stable during her three-month followup.,"Non-smoker, no history of malignancy",She is a non-smoker without a history of malignancy.,Decarvalho et al. - 2024 - Puzzling Pulmonary Patterns Unraveling the Mystery of Minute Pulmonary Meningothelial-like Nodules.pdf,,
1,"A 49-year-old woman, never smoker, and on hormone replacement therapy (HRT), presented with a nonproductive cough and dyspnea.",49,"A 49-year-old woman, never smoker, and on hormone replacement therapy (HRT), presented with a nonproductive cough and dyspnea.",Female,"A 49-year-old woman, never smoker, and on hormone replacement therapy (HRT), presented with a nonproductive cough and dyspnea.",Nonproductive cough and dyspnea,"A 49-year-old woman, never smoker, and on hormone replacement therapy (HRT), presented with a nonproductive cough and dyspnea.",Wedge biopsy,"A wedge biopsy showed multiple perivenular nodules (shown in Figure 1C) composed of nests of bland cells containing a moderate amount of cytoplasm, round to oval nuclei, and finely granular chromatin (shown in Figure 1D).","Numerous, randomly distributed, bilateral, solid and ground glass micronodules of 2-4 mm with several nodules exhibiting the characteristic 'cheerio-sign' marked by central lucency","Chest computed tomography showed numerous, randomly distributed, bilateral, solid and ground glass micronodules of 2 -4 mm (shown in Figure 1A). Several nodules exhibited the characteristic 'cheerio-sign' marked by central lucency (shown in Figure 1B, arrows).","Multiple perivenular nodules composed of nests of bland cells containing a moderate amount of cytoplasm, round to oval nuclei, and finely granular chromatin","A wedge biopsy showed multiple perivenular nodules (shown in Figure 1C) composed of nests of bland cells containing a moderate amount of cytoplasm, round to oval nuclei, and finely granular chromatin (shown in Figure 1D).",,,Hormone replacement therapy withdrawal,The patient's symptoms improved after the withdrawal of her HRT,Stable disease,"The patient's symptoms improved after the withdrawal of her HRT, and the nodules have remained stable for the last 2 years.",None reported,,Nadrous et al. - 2023 - Diffuse pulmonary meningotheliomatosis.pdf,,"The case describes a rare condition of Diffuse pulmonary meningotheliomatosis (DPM). Patient was a never smoker on HRT, which was noted to be potentially relevant given hormonal associations with the condition."
1,DPM in a 52-year-old woman with chronic exertional dyspnea.,52,DPM in a 52-year-old woman with chronic exertional dyspnea.,Female,DPM in a 52-year-old woman with chronic exertional dyspnea.,Chronic exertional dyspnea,"DPM in a 52-year-old woman with chronic exertional dyspnea. The patient had no history of smoking, illicit drug use, occupational exposure, or pets.",Surgical lung biopsy with immunohistochemical staining,"She underwent surgical lung biopsy, and a panel of immunohistochemical stains was performed on the biopsy specimen.",Numerous small nodules throughout both lungs in a random distribution. Some nodules have central clearing (Cheerio sign).,Axial (A) and coronal (B) maximum intensity projection CT images demonstrate numerous small nodules throughout both lungs in a random distribution. Close-up axial CT image (C) shows that some nodules (arrows) have central clearing (Cheerio sign).,Meningothelial cells present in lung tissue,"Histologically, these nodules consist of clusters of spindle cells that resemble meningothelial cells.","Positive for vimentin and epithelial membrane antigen (EMA), negative for synaptophysin","The cells tested positive for vimentin (A) and epithelial membrane antigen (EMA) (B), which are characteristic findings of meningothelial cells. The stain was negative for synaptophysin (C)",,,Not reported,,,,Niemierko et al. - 2024 - Diffuse Pulmonary Meningotheliomatosis.pdf,,
1,,<UNKNOWN>,,<UNKNOWN>,,Not reported,,Pulmonary wedge resections with histologic examination and immunohistochemistry,"Subsequent pulmonary wedge resections were obtained from the right upper, middle, and lower lobes. Grossly, there were no identifiable lesions and the specimens were entirely submitted for histologic examination.",Not reported,,"Multiple interstitial nodules with epithelioid and spindle cells arranged in nested growth pattern. Cells showed oval-shaped nuclei with finely dispersed chromatin, inconspicuous nucleoli, eosinophilic cytoplasm, clear pseudonuclear inclusions and nuclear grooves/indentations.","The sections prepared showed multiple interstitial nodules distributed in a randomized fashion... These lesions comprised a population of epithelioid and spindle cells arranged in a vaguely nested growth pattern. The individual cells show centrally located oval-shaped nuclei with finely dispersed chromatin, inconspicuous nucleoli, and variably abundant eosinophilic cytoplasm with indistinct cytoplasmic borders","Positive for vimentin, epithelial membrane antigen (EMA), and progesterone receptor (PR). Negative for cytokeratin (AE1/AE3), smooth muscle actin, S-100, HMB-45, CD31, and CD34.","Immunohistochemical profile of the lesional cells was diffusely positive for vimentin, epithelial membrane antigen (EMA), and progesterone receptor (PR), and negative for cytokeratin (AE1/AE3), smooth muscle actin, S-100, HMB-45, CD31, and CD34.",,,Diagnosis of Diffuse Pulmonary Meningotheliomatosis established,A definitive diagnosis of DPM was established.,,,Huang et al. - 2015 - Diffuse pulmonary meningotheliomatosis A diagnostically challenging entity on fine‐needle aspiratio.pdf,,
1,"We present a case of multiple incidentally detected, randomly distributed, cavitating micronodules with pathologic correlation.",54,A 54-year-old woman was found to have iron deficiency anemia,Female,A 54-year-old woman,Asymptomatic,"The patient was generally well... She denied fatigue, shortness of breath, or other respiratory symptom.",CT imaging and thoracoscopic lung biopsy,spiral chest CT with 1-mm reformations was performed... the patient underwent a minimally invasive thoracoscopic lung biopsy for tissue diagnosis.,"Multiple bilateral randomly distributed 1-4mm nodules, many with thin-walled cavities, no zonal predominance, no other parenchymal, hilar, mediastinal, or pleural abnormalities","This demonstrated multiple, bilateral, randomly distributed 1- to 4-mm nodules, many of which had thin-walled cavities. No zonal predominance was noted... No other parenchymal, hilar, mediastinal, or pleural abnormality was evident.","Multiple Minute Pulmonary Meningothelial-like Nodules (MPMNs) ranging from microscopic to 4.0mm in diameter, showing interstitial proliferation of cytologically bland oval to blunted spindle cells with widening of alveolar septa and whorling cell clusters giving meningotheliomatous appearance","On microscopic examination, numerous minute pulmonary meningothelial-like nodules (MPMNs) were identified... The microscopic appearance of the nodules conforms to classic descriptions of an interstitial proliferation of cytologically bland oval to blunted spindle cells imparting a variable widening to the alveolar septa. Some slight whorling of cell clusters imparted a vague meningotheliomatous appearance.","Positive for vimentin, epithelial membrane antigen, progesterone receptor, and CD56; negative for pankeratin, synaptophysin, S-100 protein, bombesin, CD34; rare cells positive for MIB1","The immunohistochemical profile of the lesions was consistent with previous descriptions (positive for vimentin, epithelial membrane antigen, progesterone receptor, and CD56; negative for pankeratin, synaptophysin, S-100 protein, bombesin, CD34; rare cells were positive for the nuclear proliferation antigen MIB1).",Not reported,,Not reported,,"Iron deficiency anemia, hypertension, gastroesophageal reflux",Past medical history revealed hypertension and gastroesophageal reflux... iron deficiency anemia,Kraushaar et al. - Minute Pulmonary Meningothelial-Like Nodules A Case of Incidentally Detected Diffuse Cystic Microno.pdf,,
1,A 61-year-old woman,61,A 61-year-old woman,Female,A 61-year-old woman,nonproductive cough with nonexertional dyspnea,the recent development of a nonproductive cough with nonexertional dyspnea and an isolated decline in diffusing capacity for carbon monoxide on pulmonary function testing,Transbronchial cryobiopsy,"The patient underwent rigid bronchoscopy, with cryobiopsy performed twice in the right upper lobe (RUL) and twice in the right lower lobe (RLL), under fluoroscopic guidance and with an in-situ occlusion balloon.",diffuse upper lobe predominant centrilobular and perifissural micronodules stable on CT imaging for 3 years,diffuse upper lobe predominant centrilobular and perifissural micronodules which had been stable on computed tomography (CT) imaging for the last 3 years,"Pulmonary meningothelial-like nodules with lesional cells positive for progesterone receptor and epithelial membrane antigen, negative for pan-cytokeratin, synaptophysin, smooth muscle actin and HMB-45","The cryobiopsy specimens in the RUL were notable for 3 separate foci of pulmonary meningothelial-like nodules. Immunohistochemical stains showed the lesional cells to be positive for progesterone receptor and epithelial membrane antigen, and negative for pan-cytokeratin, synaptophysin, smooth muscle actin and HMB-45.","Positive for progesterone receptor and epithelial membrane antigen; negative for pan-cytokeratin, synaptophysin, smooth muscle actin and HMB-45","Immunohistochemical stains showed the lesional cells to be positive for progesterone receptor and epithelial membrane antigen, and negative for pan-cytokeratin, synaptophysin, smooth muscle actin and HMB-45.",Observation,"The patient was counseled on the benign nature of DPM, with plans to undergo further workup",Stable with plans for further workup,"The patient was counseled on the benign nature of DPM, with plans to undergo further workup of her abnormal diffusing capacity, including evaluation for pulmonary vascular disease.",history of extensive cigarette smoking and vaping,with a prior history of extensive cigarette smoking and vaping,Swenson et al. - 2022 - Diffuse Pulmonary Meningotheliomatosis Diagnosed Via Transbronchial Cryobiopsy.pdf,,
0,,<UNKNOWN>,,<UNKNOWN>,,Not reported,,Not reported,,Difficult to differentiate from lung cancers,These lesions are difficult to differentiate from lung cancers based on clinical and imaging manifestations.,"Pulmonary meningothelial proliferative lesions including primary pulmonary meningiomas, minute pulmonary meningothelial-like nodules, and metastatic pulmonary meningiomas","Pulmonary meningothelial proliferative lesions, including primary pulmonary meningiomas, minute pulmonary meningothelial-like nodules, and metastatic pulmonary meningiomas are rare pulmonary lesions.",,,,,Not reported,,,,Liu et al. - 2024 - Primary pulmonary meningioma and minute pulmonary meningothelial-like nodules Rare pulmonary nodula.pdf,,"This appears to be an editorial/review article rather than a case report. No specific patient cases are described, only general discussion of the condition."
1,We report a case of multiple minute meningothelial-like nodules,64,A 64-year-old woman presented,Female,A 64-year-old woman presented,Shortness of breath,presented with a complaint of shortness of breath,CT scan and surgical pathology,Chest CT with thin sections though the region of the nodule was performed... She underwent right upper lobe wedge resection.,1 cm noncalcified nodule in right upper lobe with numerous bilateral micronodules less than 3mm in diameter showing random distribution in upper lobes,"CT demonstrated a 1 cm noncalcified nodule in the apical segment of the right upper lobe... Additionally, numerous micronodules with a random distribution were visible in the upper lobes bilaterally on the thin-section images; these nodules were solid, sharply circumscribed, and all measured <3 mm in diameter.",Multiple minute pulmonary meningothelial-like nodules with concurrent moderately well-differentiated adenocarcinoma,"Histopathologically, the micronodules seen on the CT scan represented multiple benign minute pulmonary meningothelial-like nodules... The gross specimen revealed a 1.2 cm right upper lobe nodule that histopathologically represented moderately well-differentiated adenocarcinoma.",Not reported,,Right upper lobe wedge resection,She underwent right upper lobe wedge resection.,Stable condition with no evidence of recurrent carcinoma,"Follow-up chest CT 8 months after resection showed an irregular opacity in the right upper lung consistent with postsurgical changes but no evidence of recurrent carcinoma... One year after surgery, the patient is doing well.","Gastroesophageal reflux, 50 pack-year smoking history",Her past medical and surgical histories were remarkable only for gastroesophageal reflux and hysterectomy. She had a 50 pack-year history of smoking.,Sellami et al. - 2001 - Minute Pulmonary Meningothelial-Like Nodules Thin-Section CT Appearance.pdf,,
12,The clinical characteristics of these patients are summarized in...Thirteen patients were diagnosed with MPMNs; a patient with associated central nervous system meningiomas was excluded from this study. Two pathologists consistently diagnosed the remaining 12 patients with MPMNs.,54 (32-72),The average age of the patients was 54 (range: 32 -72) years.,"Male, Female","Gender, Patients with MPMNs = . Male, Patients with MPMNs = 1. Female, Patients with MPMNs = 11.",Not reported,,Pulmonary resection with pathological examination,All specimens were obtained from pulmonary resections performed at the Guangdong Lung Cancer Institute/Guangdong Provincial People's Hospital.,Ground-glass opacity or solid nodules,"Minute pulmonary meningothelial-like nodules (MPMNs) usually present as ground-glass opacity or solid nodules, mimicking the imaging findings of malignant pulmonary nodules.",Minute Pulmonary Meningothelial-like Nodules,Two pathologists consistently diagnosed the remaining 12 patients with MPMNs.,,,,,Not reported,,"Pulmonary adenocarcinoma (4), Squamous cell lung cancer (2), Lymphoid-like lung cancer (1), Squamous cell esophageal cancer (1), Pulmonary atypical adenomatous hyperplasia (2), Pulmonary granuloma (1), Tubular adenoma of colon (1)","The main coexisting diseases in these 12 patients with MPMNs were: lung cancer (7 patients), atypical adenomatous hyperplasia (2 patients), esophageal cancer (1 patient), pulmonary granuloma (1 patient), and tubular adenoma of the colon (1 patient).",Peng et al. - 2019 - Benign disease prone to be misdiagnosed as malignant pulmonary nodules Minute meningothelioid nodul.pdf,,
46,46 patients (43 females; 93.5%) had 1 or more PMNs noted on lung pathology specimens.,61 (range: 27-77),The average age at diagnosis was 61 (range: 27-77).,"Female (43), Male (3)",46 patients (43 females; 93.5%) had 1 or more PMNs noted on lung pathology specimens.,Asymptomatic,often incidentally-detected rare condition,Lung biopsy,biopsy was performed for evaluation of diffuse micronodular disease,Diffuse micronodular disease with/without cavitation; some cases with ground glass opacity,"diffuse micronodular disease with/without cavitation detected on imaging. Of these patients with 'diffuse pulmonary meningotheliomatosis', 5 patients had micronodular disease as the sole radiologic abnormality","Pulmonary Meningothelial-like Nodules (PMNs) measuring 1-6mm; some cases with associated findings including granulomas, chronic bronchiolitis, atypical adenomatous hyperplasia, and emphysema","Reported size of nodules was between 1-6mm. Frequent associations of PMNs noted in non-neoplastic specimens (27) included granulomas (7), chronic bronchiolitis (10), atypical adenomatous hyperplasia (AAH) (3), and emphysema (4).",,,Observation,"clinical judgement based on risk factors should be utilized in recommending follow-up, oncologic work-up or further imaging.",Variable follow-up periods from 1 month to 95 months,"follow up period (f/u): 1-6 mo), (f/u: 38 mo), (f/u: 95mo)","Chronic hypersensitivity pneumonitis, adenocarcinoma in situ, malignancy, interstitial lung disease",3 patients had findings suggestive of chronic hypersensitivity pneumonitis... 1 patient who had biopsy for increased micronodule size and number was diagnosed with adenocarcinoma in situ in addition to diffuse PMN,Mirza et al. - 2017 - Diffuse Pulmonary Meningothelial-Like Nodules A Case Series.pdf,,
1,"Here, we present a rare case of DPM in a 55-year-old woman.",55,A 55-year-old woman presented to the clinic with non-exertional chest pressure and dry cough of 4-month duration.,Female,A 55-year-old woman presented to the clinic,Chest pressure and dry cough,presented to the clinic with non-exertional chest pressure and dry cough of 4-month duration,Right video-assisted thoracoscopic surgery (VATS) with multiple lung biopsies,The patient ultimately underwent uncomplicated right videoassisted thoracoscopic surgery (VATS) with multiple lung biopsies.,"Innumerable diffuse small ground-glass nodules, some with central cavitation","High-resolution chest computed tomography (CT) showed innumerable diffuse small ground-glass nodules, some of which were cavitary in nature",Multiple well-circumscribed interstitial meningothelial-like nodules in perivenular distribution with occasional whorling of cells,"Pathology showed multiple well-circumscribed interstitial meningothelial-like nodules in perivenular distribution with occasional whorling of cells, consistent with diffuse pulmonary meningotheliomatosis (DPM)",,,Observation,Repeat imaging with high-resolution chest CT scan showed stable findings,Stable disease at 1 year follow-up with persistent chest pressure,"One year after diagnosis, the patient continued to complain of non-exertional chest pressure without pulmonary complaints. Repeat imaging with high-resolution chest CT scan showed stable findings.","Hypertension, hypercholesterolemia, hypothyroidism, gastroesophageal reflux disease, and impaired fasting blood glucose","Her past medical history was significant for hypertension, hypercholesterolemia, hypothyroidism, gastroesophageal reflux disease, and impaired fasting blood glucose",Alkurashi et al. - 2020 - Diffuse Pulmonary Meningotheliomatosis A Rare Lung Disease Presenting with Diffuse Ground-Glass Opa.pdf,,
1,We herein report a 56-year-old woman,56,56-year-old woman,Female,56-year-old woman,Not reported,,Chest CT scan,thin-section chest CT scan,Diffuse thin-walled cystic lesions and tiny nodules (2-5 mm in diameter) of ground-glass attenuation,"Chest computed tomography (CT) findings of minute pulmonary meningothelial-like nodules (MPMNs) usually show tiny nodules (2-5 mm in diameter) of ground-glass attenuation. However, diffuse, thin-walled cavities have rarely been reported... showing diffuse, thin-walled cystic lesions on a thin-section chest CT scan",Minute Pulmonary Meningothelial-like Nodules,minute pulmonary meningothelial-like nodules (MPMNs),,,,,Not reported,,,,Harada et al. - 2019 - Minute Pulmonary Meningothelial-like Nodules Showing Multiple Ring-shaped Opacities.pdf,,"The abstract focuses mainly on imaging findings. No information about symptoms, treatment, outcome, or comorbidities is provided."
1,We herein report a unique case of DPM in a 54-year-old woman,54,54-year-old woman,Female,54-year-old woman,Asymptomatic,"multiple small nodules in the subpleural areas of both lungs, which were not seen in the previous abdominal CT",Video-assisted thoracoscopic surgery biopsy,The patient underwent a video-assisted thoracoscopic surgery along the lower edge of the lower lobe of the right lung for diagnostic purposes.,"Diffuse bilateral nodular infiltration with occasional cavitation, multiple scattered small (1 to 3 mm) gray nodules","""A chest CT showed diffuse bilateral nodular infiltration with occasional cavitation"" and ""The cut surface of the lung specimen showed multiple scattered small (1 to 3 mm) gray nodules.""","Multiple nodules consisting of variably sized nests or whorls of bland epithelioid cells along alveolar septal walls and in perivascular network within alveolar interstitium. Cells were elongated or spindle-shaped, with oval nuclei, finely granular chromatin, and inconspicuous nucleoli. Abundant granular eosinophilic cytoplasm with indistinct cell borders.","Microscopically, the multiple nodules consisted of variably sized nests or whorls of bland epithelioid cells often along the walls of alveolar septa or in a perivascular network within the alveolar interstitium with edematous inter- vening or surrounding stroma","Positive for vimentin, epithelial membrane antigen (EMA), and progesterone receptor","Immunohistochemically, PMLN cells showed a diffuse and intense immunoreactivity for vimentin, EMA and progesterone receptor (PR)",Diagnostic biopsy only,The patient underwent a video-assisted thoracoscopic surgery along the lower edge of the lower lobe of the right lung for diagnostic purposes.,Not reported,,Hepatocellular carcinoma,A 54-year-old woman was diagnosed with hepatocellular carcinoma 5 months ago,An et al. - 2011 - Diffuse Pulmonary Meningotheliomatosis - A Case Report -.pdf,,
